categoria,subcategoria,pregunta,respuesta
VARIEDADES DE CAFÉ,Variedades Resistentes,"¿Cuáles son las variedades de café resistentes a la roya desarrolladas por Cenicafé?","Las principales variedades resistentes a la roya desarrolladas por Cenicafé son: Variedad Colombia (1982), Variedad Tabi (2002), Variedad Castillo® y sus componentes regionales (2005), Variedad Cenicafé 1 (2016), y las variedades Castillo® zonales - zona Norte, zona Centro y zona Sur (2017)."
VARIEDADES DE CAFÉ,Variedades Resistentes,"¿Qué variedades de café con resistencia a la roya ha creado Cenicafé?","Cenicafé ha desarrollado varias variedades resistentes a la roya: Colombia en 1982, Tabi en 2002, Castillo® con sus siete componentes regionales en 2005, Cenicafé 1 en 2016, y las tres variedades Castillo® zonales (Norte, Centro y Sur) en 2017."
VARIEDADES DE CAFÉ,Variedades Resistentes,"Dígame las variedades resistentes a roya que ha producido Cenicafé","Entre las variedades resistentes a roya producidas por Cenicafé están: la Variedad Colombia (liberada en 1982), Tabi (2002), Castillo® General y sus componentes regionales (2005), Cenicafé 1 (2016) y Castillo® zona Norte, Centro y Sur (2017)."
VARIEDADES DE CAFÉ,Variedades Resistentes,"¿Cuántas y cuáles variedades resistentes a roya tiene Colombia?","Colombia cuenta con múltiples variedades resistentes: Variedad Colombia, Tabi, Castillo® General, siete componentes regionales de Castillo® (Pueblo Bello, El Rosario, Santa Bárbara, La Trinidad, Paraguaicito, Naranjal y El Tambo), Cenicafé 1, y tres Castillo® zonales."
VARIEDADES DE CAFÉ,Características Genéticas,"¿Qué característica principal tienen las variedades mejoradas de Cenicafé?","Las variedades mejoradas de Cenicafé son compuestas, es decir, son la mezcla de diferentes progenies que difieren en su nivel de resistencia pero comparten excelentes atributos agronómicos como producción, calidad física del grano y calidad sensorial. Utilizan la diversidad genética como eje central para obtener resistencia durable a la roya del cafeto."
VARIEDADES DE CAFÉ,Características Genéticas,"¿Cómo están conformadas las variedades mejoradas de Cenicafé?","Las variedades mejoradas son compuestas, formadas por la combinación de diferentes progenies con distintos niveles de resistencia pero con características agronómicas sobresalientes. Esta estrategia de diversidad genética garantiza resistencia durable a la roya."
VARIEDADES DE CAFÉ,Características Genéticas,"¿Qué significa que las variedades de Cenicafé sean compuestas?","Significa que son una mezcla de diferentes líneas genéticas (progenies) que tienen variación en su resistencia a la roya pero mantienen excelentes cualidades productivas, de calidad física y sensorial. Esta diversidad genética es clave para lograr resistencia duradera."
VARIEDADES DE CAFÉ,Características Genéticas,"¿Por qué las variedades de Cenicafé tienen resistencia durable?","La resistencia durable se logra mediante la estrategia de variedades compuestas que utilizan la diversidad genética como eje central. Al mezclar diferentes progenies con distintos mecanismos de resistencia, se dificulta que el hongo de la roya pueda superar todas las defensas."
PRODUCTIVIDAD,Indicadores Nacionales,"¿Cuál es la productividad promedio nacional de café en Colombia para el año 2020?","Para el año 2020, la productividad promedio nacional alcanzó un valor histórico de 19,4 sacos de café verde por hectárea, que correspondieron a 119 arrobas de café pergamino seco por hectárea al año."
PRODUCTIVIDAD,Indicadores Nacionales,"¿Cuántos sacos por hectárea produjo Colombia en promedio en 2020?","En 2020, Colombia alcanzó una productividad promedio histórica de 19,4 sacos de café verde por hectárea al año, equivalentes a 119 arrobas de café pergamino seco por hectárea."
